feature,score,score_std,input_value,intercept
Age,0.1329779671360863,0.28183530376840005,0.0,-1.0523352210924692
Age,-2.0299308103105087,2.083572120943338,16.0,-1.0523352210924692
Age,0.22540664627504933,0.5866624813649838,17.0,-1.0523352210924692
Age,0.3211181559673699,0.17076153027411287,18.0,-1.0523352210924692
Age,0.3071403039395005,0.15455184766480135,19.0,-1.0523352210924692
Age,-0.5286986461362362,0.23424001901957625,20.0,-1.0523352210924692
Age,-0.789822327923255,0.16445739673476942,21.0,-1.0523352210924692
Age,-0.9223486333169773,0.2105894628496483,22.0,-1.0523352210924692
Age,-1.4075406323110233,0.327443334261974,23.0,-1.0523352210924692
Age,-0.5572732321747593,0.2108683919609049,24.0,-1.0523352210924692
Age,-0.5626469376325832,0.24580668268421238,25.0,-1.0523352210924692
Age,-0.36895666665843185,0.12862278984571815,26.0,-1.0523352210924692
Age,-0.30598126528132163,0.1253480587813733,27.0,-1.0523352210924692
Age,-0.8785846847365009,0.18605939691614728,28.0,-1.0523352210924692
Age,-0.6152192419248051,0.22810920145986638,29.0,-1.0523352210924692
Age,-0.43528425513034563,0.16676720781466123,30.0,-1.0523352210924692
Age,-0.1214424096228068,0.1421209707310519,31.0,-1.0523352210924692
Age,-0.04846081184602867,0.13167395949369412,32.0,-1.0523352210924692
Age,-0.7958503440849055,0.30693227254333616,33.0,-1.0523352210924692
Age,-0.4270325316641588,0.19850421191299422,34.0,-1.0523352210924692
Age,-0.13127525275498103,0.08784447503352785,35.0,-1.0523352210924692
Age,-0.47972680411198093,0.3303702640599796,36.0,-1.0523352210924692
Age,-0.5717651457526183,0.44754068675115544,37.0,-1.0523352210924692
Age,-0.6581292989658694,0.3139814967255186,38.0,-1.0523352210924692
Age,0.26989911171605585,0.19660615805480464,39.0,-1.0523352210924692
Age,-0.33350824239625143,0.3291382061632974,40.0,-1.0523352210924692
Age,-0.23232633179208603,0.20429665074358355,41.0,-1.0523352210924692
Age,-1.0127260176955872,0.47534723923864414,42.0,-1.0523352210924692
Age,-0.25562995049217924,0.20950800402905184,43.0,-1.0523352210924692
Age,-0.6108036912205885,0.345854296336975,44.0,-1.0523352210924692
Age,-0.4619943048097935,0.32842211038394403,45.0,-1.0523352210924692
Age,0.46297755182461303,0.1751147671200656,46.0,-1.0523352210924692
Age,-0.5377948079193313,0.323273552571176,47.0,-1.0523352210924692
Age,-0.3095613169034209,0.1282459020608136,48.0,-1.0523352210924692
Age,-0.5052663332953008,0.3187344717419462,49.0,-1.0523352210924692
Age,-0.5935633855382286,0.32061984086954654,50.0,-1.0523352210924692
Age,-0.254898853458865,0.17128628305882096,51.0,-1.0523352210924692
Age,-0.8982792253902943,0.4243385718690939,52.0,-1.0523352210924692
Age,-0.18677219971560804,0.21390107069357683,53.0,-1.0523352210924692
Age,-0.3622666342977181,0.16443928000509944,54.0,-1.0523352210924692
Age,-0.9192094917297937,0.4427739922739559,55.0,-1.0523352210924692
Age,-1.267802100844383,0.7362081187266181,56.0,-1.0523352210924692
Age,-0.680115343500978,0.3311150285410591,57.0,-1.0523352210924692
Age,-0.4234504893193729,0.5912948765842683,58.0,-1.0523352210924692
Age,0.12299136592714348,0.332983332683756,59.0,-1.0523352210924692
Age,-0.045372486714341485,0.2965309708590695,60.0,-1.0523352210924692
Age,-0.4590026183883823,0.4323518663175758,61.0,-1.0523352210924692
Age,-0.746860967385108,0.400501740717913,62.0,-1.0523352210924692
Age,-0.16984657934107697,0.2551733105052703,63.0,-1.0523352210924692
Age,-0.1401357117948449,0.3308521483776222,64.0,-1.0523352210924692
Age,-0.33644240103426676,0.4053905859389301,65.0,-1.0523352210924692
Age,0.3235037359667519,0.4919507753488047,66.0,-1.0523352210924692
Age,0.7585067048453239,0.37817697261986,67.0,-1.0523352210924692
Age,-3.341885893268102,1.6341717651638032,68.0,-1.0523352210924692
Age,-3.3445150164237476,1.6331235813187244,69.0,-1.0523352210924692
Age,-3.3466168371611413,1.6329930122776486,70.0,-1.0523352210924692
Age,-3.350560339653753,1.633419702318994,71.0,-1.0523352210924692
Age,-0.5013852547148618,1.0878936692570802,72.0,-1.0523352210924692
Age,-2.8620523479710713,1.1686816990277211,73.0,-1.0523352210924692
Age,-3.5976740786226564,1.6334005706299255,74.0,-1.0523352210924692
Age,-3.599993118577545,1.633707638073984,75.0,-1.0523352210924692
Age,-1.4340480199475094,1.110816418556676,76.0,-1.0523352210924692
Age,-1.9157870048453893,1.2728221458322377,77.0,-1.0523352210924692
Age,-0.060031177819976585,0.8922730333252769,78.0,-1.0523352210924692
Age,-5.44892317682794,1.8272083740879599,79.0,-1.0523352210924692
Age,-5.456836478735906,1.827167536234554,80.0,-1.0523352210924692
Deductible,-1.8113919423265483,1.8500689824106349,300.0,-1.0523352210924692
Deductible,-0.02802930135525383,0.006722604840239637,400.0,-1.0523352210924692
Deductible,1.3369051345354666,0.21947735973245616,500.0,-1.0523352210924692
Deductible,-0.07445177474750904,0.21195374550083082,700.0,-1.0523352210924692
DriverRating,-0.9781023470430827,0.2212030115922868,1.0,-1.0523352210924692
DriverRating,-1.0298316734274184,0.2049338547243943,2.0,-1.0523352210924692
DriverRating,-0.8136007044403768,0.1800176263714702,3.0,-1.0523352210924692
DriverRating,-0.9029789215137685,0.1820910854767899,4.0,-1.0523352210924692
